Name,E_a,A_valence,R_A,R_B,R_X,A-site,B-site,X-site,ELN_A,ELN_B,ELN_X,alpha,U,E_hull,k64_emp
AlCo2O4,1.447,3,0.53,0.685,1.24,Al,Co,O,1.61,1.88,3.44,90.2901,0.380648897,0.111631697,1.130288966
AlCo2S4,0.682,3,0.53,0.75,1.674,Al,Co,S,1.61,1.88,2.58,96.6946,0.378222505,0.120494221,1.140375134
AlCo2Se4,0.608,3,0.53,0.75,1.812,Al,Co,Se,1.61,1.88,2.55,97.1628,0.378222505,0.105680474,1.140375134
AlCr2O4,0.929,3,0.53,0.755,1.24,Al,Cr,O,1.61,1.66,3.44,90.7707,0.378045271,0.123253757,1.141134784
AlCr2Se4,0.858,3,0.53,0.755,1.812,Al,Cr,Se,1.61,1.66,2.55,93.9483,0.378045271,0.039004834,1.141134784
AlEr2S4,0.99,3,0.53,1.03,1.674,Al,Er,S,1.61,1.24,2.58,90.9283,0.369852578,0.055257679,1.180017706
AlEr2Se4,0.748,3,0.53,1.03,1.812,Al,Er,Se,1.61,1.24,2.55,90.1739,0.369852578,0.082047029,1.180017706
AlFe2O4,1.519,3,0.53,0.69,1.24,Al,Fe,O,1.61,1.83,3.44,90.3002,0.380453666,0.033091356,1.131079355
AlFe2S4,0.469,3,0.53,0.785,1.674,Al,Fe,S,1.61,1.83,2.58,96.7646,0.37700758,0.183693931,1.145647193
AlFe2Se4,0.315,3,0.53,0.785,1.812,Al,Fe,Se,1.61,1.83,2.55,94.5034,0.37700758,0.171371149,1.145647193
AlGa2S4,0.559,3,0.53,0.76,1.674,Al,Ga,S,1.61,1.81,2.58,91.852,0.37786929,0.19522223,1.141892229
AlGa2Se4,0.475,3,0.53,0.76,1.812,Al,Ga,Se,1.61,1.81,2.55,92.0714,0.37786929,0.19196392,1.141892229
AlIn2S4,0.5,3,0.53,0.94,1.674,Al,In,S,1.61,1.78,2.58,90.5434,0.372245751,0.129386291,1.167853383
AlIn2Se4,0.438,3,0.53,0.94,1.812,Al,In,Se,1.61,1.78,2.55,90.0475,0.372245751,0.119390752,1.167853383
AlLa2Se4,0.885,3,0.53,1.172,1.812,Al,La,Se,1.61,1.1,2.55,92.5702,0.366498359,0.141615791,1.198315853
AlMn2O4,0.785,3,0.53,0.72,1.24,Al,Mn,O,1.61,1.55,3.44,90.2836,0.379313198,0.104807494,1.135769776
AlMn2S4,0.119,3,0.53,0.785,1.674,Al,Mn,S,1.61,1.55,2.58,92.3931,0.37700758,0.043316512,1.145647193
AlMn2Se4,0.642,3,0.53,0.785,1.812,Al,Mn,Se,1.61,1.55,2.55,92.9317,0.37700758,-0.078531467,1.145647193
AlMo2O4,1.855,3,0.53,0.83,1.24,Al,Mo,O,1.61,2.16,3.44,92.5209,0.375528082,0.234167832,1.152276813
AlNb2O4,0.84,3,0.53,0.86,1.24,Al,Nb,O,1.61,1.6,3.44,93.116,0.374588696,0.124172249,1.156609683
AlNd2S4,1.119,3,0.53,1.123,1.674,Al,Nd,S,1.61,1.14,2.58,92.6977,0.367604145,0.104037668,1.192115126
AlNd2Se4,0.963,3,0.53,1.123,1.812,Al,Nd,Se,1.61,1.14,2.55,92.0035,0.367604145,0.095173748,1.192115126
AlNi2O4,1.154,3,0.53,0.7,1.24,Al,Ni,O,1.61,1.91,3.44,91.4254,0.380067709,0.074862674,1.132652609
AlNi2S4,0.714,3,0.53,0.74,1.674,Al,Ni,S,1.61,1.91,2.58,95.4526,0.378580798,0.154462883,1.138849149
AlNi2Se4,0.691,3,0.53,0.74,1.812,Al,Ni,Se,1.61,1.91,2.55,96.2341,0.378580798,0.125398268,1.138849149
AlPd2S4,1.058,3,0.53,0.9,1.674,Al,Pd,S,1.61,2.2,2.58,93.3297,0.373389346,0.209031387,1.162285807
AlPd2Se4,0.903,3,0.53,0.9,1.812,Al,Pd,Se,1.61,2.2,2.55,94.3588,0.373389346,0.12818299,1.162285807
AlRu2O4,0.671,3,0.53,0.82,1.24,Al,Ru,O,1.61,2.2,3.44,90.867,0.375849312,0.369094187,1.1508174
AlRu2S4,1.342,3,0.53,0.82,1.674,Al,Ru,S,1.61,2.2,2.58,95.3642,0.375849312,0.198414038,1.1508174
AlSc2O4,1.503,3,0.53,0.885,1.24,Al,Sc,O,1.61,1.36,3.44,91.6852,0.373832289,0.134775221,1.160170372
AlSc2S4,0.865,3,0.53,0.885,1.674,Al,Sc,S,1.61,1.36,2.58,90.6197,0.373832289,0.011040721,1.160170372
