compound,E_a,A_site,B_site,X_site,A_valence,EN_A,EN_B,EN_X,R_A,R_B,R_X,Polarizability_A,Polarizability_B,Polarizability_X,EA_A,EA_B,EA_X,a_lat,b_lat,c_lat,avg_d_AX_all,avg_d_AX_excl,avg_d_BX,k64_m_all,k64_m_excl,u_eff_all,u_eff_excl,tetragonality_ratio
AlCo2O4,0.8943902199999911,Al,Co,O,3,1.61,1.88,3.44,0.39,0.61,1.4,57.8,55.0,5.3,0.43283,0.66225646,1.4611135,8.343907,8.211753,8.211753,1.844979,1.842927,2.016763,1.093109,1.094326,0.379024,0.378881,0.984162
AlCo2S4,0.6808415099999934,Al,Co,S,3,1.61,1.88,2.58,0.39,0.61,1.84,57.8,55.0,19.4,0.43283,0.66225646,2.07710403,9.601255,9.601255,9.601255,2.302886,2.30582,2.274616,0.987724,0.986467,0.388479,0.388655,1.0
AlCo2Se4,0.5995691399999714,Al,Co,Se,3,1.61,1.88,2.55,0.39,0.61,1.98,57.8,55.0,28.9,0.43283,0.66225646,2.02067,10.221794,10.221794,10.221794,2.469656,2.475754,2.413702,0.977343,0.974936,0.389492,0.389836,1.0
AlCr2O4,0.7950735300000247,Al,Cr,O,3,1.61,1.66,3.44,0.39,0.615,1.4,57.8,83.0,5.3,0.43283,0.6659999999999999,1.4611135,8.251355,8.457781,8.457781,1.828043,1.8184,2.068189,1.131368,1.137368,0.375811,0.375147,1.025017
AlCr2Se4,0.6118490800000131,Al,Cr,Se,3,1.61,1.66,2.55,0.39,0.615,1.98,57.8,83.0,28.9,0.43283,0.6659999999999999,2.02067,10.656327,10.656327,10.656327,2.458371,2.452309,2.573699,1.046912,1.0495,0.383192,0.382864,1.0
AlEr2O4,1.7951080099999783,Al,Er,O,3,1.61,1.24,3.44,0.39,0.89,1.4,57.8,150.0,5.3,0.43283,,1.4611135,8.999864,8.999864,8.999864,1.820509,1.825448,2.295168,1.260729,1.257318,0.366787,0.367104,1.0
AlEr2S4,1.0130540899999687,Al,Er,S,3,1.61,1.24,2.58,0.39,0.89,1.84,57.8,150.0,19.4,0.43283,,2.07710403,10.81376,10.81376,10.81376,2.302408,2.298127,2.714585,1.17902,1.181216,0.372926,0.372698,1.0
AlEr2Se4,0.7576419699999519,Al,Er,Se,3,1.61,1.24,2.55,0.39,0.89,1.98,57.8,150.0,28.9,0.43283,,2.02067,11.383755,11.383755,11.383755,2.455778,2.447625,2.843511,1.157886,1.161743,0.37455,0.374136,1.0
AlFe2S4,0.4710137099999656,Al,Fe,S,3,1.61,1.83,2.58,0.39,0.645,1.84,57.8,62.0,19.4,0.43283,0.151,2.07710403,9.632028,9.632028,9.632028,2.308202,2.309357,2.291655,0.992831,0.992335,0.388355,0.388424,1.0
AlFe2Se4,0.4805157800000188,Al,Fe,Se,3,1.61,1.83,2.55,0.39,0.645,1.98,57.8,62.0,28.9,0.43283,0.151,2.02067,10.496981,10.496981,10.496981,2.452952,2.439515,2.533802,1.03296,1.03865,0.384916,0.384177,1.0
AlGa2S4,0.554460760000012,Al,Ga,S,3,1.61,1.81,2.58,0.39,0.62,1.84,57.8,50.0,19.4,0.43283,0.43,2.07710403,10.2724,10.2724,10.2724,2.304758,2.289685,2.518507,1.092742,1.099936,0.379537,0.37869,1.0
AlGa2Se4,0.4624782499999753,Al,Ga,Se,3,1.61,1.81,2.55,0.39,0.62,1.98,57.8,50.0,28.9,0.43283,0.43,2.02067,10.890246,10.890246,10.890246,2.45311,2.436384,2.667706,1.087479,1.094945,0.380052,0.379166,1.0
AlIn2S4,0.5104541999999981,Al,In,S,3,1.61,1.78,2.58,0.39,0.8,1.84,57.8,65.0,19.4,0.43283,0.3,2.07710403,10.81305,10.81305,10.81305,2.315564,2.300494,2.703217,1.167412,1.17506,0.373637,0.372832,1.0
AlIn2Se4,0.3841913200000135,Al,In,Se,3,1.61,1.78,2.55,0.39,0.8,1.98,57.8,65.0,28.9,0.43283,0.3,2.02067,11.378591,11.378591,11.378591,2.467546,2.442948,2.832217,1.147787,1.159344,0.375203,0.373955,1.0
AlLa2Se4,0.94943238999997,Al,La,Se,3,1.61,1.1,2.55,0.39,1.032,1.98,57.8,215.0,28.9,0.43283,0.47,2.02067,11.878725,11.878725,11.878725,2.45253,2.451174,3.01955,1.231198,1.231879,0.369202,0.369136,1.0
AlMn2O4,0.857257489999995,Al,Mn,O,3,1.61,1.55,3.44,0.39,0.645,1.4,57.8,68.0,5.3,0.43283,,1.4611135,8.170303,8.61565,8.61565,1.818457,1.799718,2.096668,1.152993,1.164998,0.373995,0.372717,1.054508
AlMn2S4,0.6284819400000288,Al,Mn,S,3,1.61,1.55,2.58,0.39,0.645,1.84,57.8,68.0,19.4,0.43283,,2.07710403,10.340108,10.340108,10.340108,2.32775,2.308087,2.517269,1.081417,1.09063,0.379972,0.378874,1.0
AlMn2Se4,0.6574617499999817,Al,Mn,Se,3,1.61,1.55,2.55,0.39,0.645,1.98,57.8,68.0,28.9,0.43283,,2.02067,10.770743,10.770743,10.770743,2.450812,2.436365,2.620966,1.069428,1.075769,0.381372,0.380598,1.0
AlMo2O4,3.2372978099999727,Al,Mo,O,3,1.61,2.16,3.44,0.39,0.69,1.4,57.8,87.0,5.3,0.43283,0.748,1.4611135,8.593568,8.684583,8.684583,1.797041,1.828342,2.208034,1.228705,1.20767,0.369886,0.371974,1.010591
AlNb2O4,3.3176407900000413,Al,Nb,O,3,1.61,1.6,3.44,0.39,0.72,1.4,57.8,98.0,5.3,0.43283,0.917406,1.4611135,8.565035,8.55961,8.55961,1.783577,1.749661,2.197949,1.232326,1.256214,0.370278,0.367991,0.999367
