compound,E_a,A_site,B_site,X_site,A_valence,EN_A,EN_B,EN_X,R_A,R_B,R_X,Polarizability_A,Polarizability_B,Polarizability_X,EA_A,EA_B,EA_X,a,b,c,d_AX,d_BX,k_64m,U,t_ratio,alpha,E_hull
AlSc2O4,1.6902752700000292,Al,Sc,O,3,1.61,1.36,3.44,0.39,745,1.4,57.8,97.0,5.3,0.43283,188,1.4611135,8.61434,8.61434,8.61434,1.814146,2.160142,1.190722,0.371588,1.0,91.6852,0.134775221
AlV2Se4,1.4660308500000383,Al,V,Se,3,1.61,1.63,2.55,0.39,0.64,1.98,57.8,87.0,28.9,0.43283,525,2.02067,10.667346,10.667346,10.667346,2.458906,2.606486,1.060019,0.383084,1.0,93.4716,0.078736978
AlV2S4,1.3927212300000065,Al,V,S,3,1.61,1.63,2.58,0.39,0.64,1.84,57.8,87.0,19.4,0.43283,525,2.07710403,10.094877,10.094877,10.094877,2.251436,2.473857,1.098791,0.378765,1.0,93.0155,0.116122192
AlRu2S4,1.2149805299999912,Al,Ru,S,3,1.61,2.2,2.58,0.39,0.68,1.84,57.8,72.0,19.4,0.43283,1.05,2.07710403,9.949404,9.949404,9.949404,2.322084,2.385941,1.0275,0.384747,1.0,95.3642,0.198414038
AlV2O4,1.2038807200000292,Al,V,O,3,1.61,1.63,3.44,0.39,0.64,1.4,57.8,87.0,5.3,0.43283,525,1.4611135,8.48919,8.331192,8.331192,1.81536,2.081382,1.146539,0.375014,0.981388,90.4863,0.028642384
MgRu2O4,1.1166898799999672,Mg,Ru,O,2,1.31,2.2,3.44,0.57,0.68,1.4,71.2,72.0,5.3,,1.05,1.4611135,8.956718,8.414134,8.414134,2.006917,2.080826,1.036827,0.38481,0.939422,91.8404,0.187221368
AlPd2S4,1.0734253699999954,Al,Pd,S,3,1.61,2.2,2.58,0.39,0.76,1.84,57.8,26.14,19.4,0.43283,562,2.07710403,10.167353,10.167353,10.167353,2.293798,2.461596,1.073153,0.380253,1.0,93.3297,0.209031387
ZnY2O4,1.0720160000000192,Zn,Y,O,2,1.65,1.22,3.44,0.6,0.9,1.4,38.67,162.0,5.3,,307,1.4611135,9.336034,9.336034,9.336034,2.078716,2.270625,1.092321,0.37855,1.0,92.8934,0.140951957
AlNi2O4,1.0705524400000286,Al,Ni,O,3,1.61,1.91,3.44,0.39,0.6,1.4,57.8,49.0,5.3,0.43283,1.156,1.4611135,8.3629,8.117903,8.117903,1.799652,2.005745,1.114518,0.376718,0.970704,91.4254,0.074862674
AlY2S4,1.0313447099999848,Al,Y,S,3,1.61,1.22,2.58,0.39,0.9,1.84,57.8,162.0,19.4,0.43283,307,2.07710403,10.888396,10.888396,10.888396,2.29829,2.741065,1.192654,0.371865,1.0,91.3203,0.042433538
CaFe2S4,1.0255531199999837,Ca,Fe,S,2,1.0,1.83,2.58,1.0,645,1.84,160.8,62.0,19.4,0.02455,151,2.07710403,10.189534,10.189534,10.189534,2.63854,2.34661,0.889359,0.399503,1.0,95.6894,0.380019275
AlEr2S4,1.0130540899999687,Al,Er,S,3,1.61,1.24,2.58,0.39,0.89,1.84,57.8,150.0,19.4,0.43283,,2.07710403,10.81376,10.81376,10.81376,2.298127,2.714585,1.181216,0.372698,1.0,90.9283,0.055257679
ZnEr2O4,1.003715600000021,Zn,Er,O,2,1.65,1.24,3.44,0.6,0.89,1.4,38.67,150.0,5.3,,,1.4611135,9.266322,9.266322,9.266322,2.075312,2.249431,1.0839,0.379305,1.0,93.1632,0.157033057
AlTm2S4,0.9925427499999842,Al,Tm,S,3,1.61,1.25,2.58,0.39,0.88,1.84,57.8,144.0,19.4,0.43283,1.029,2.07710403,10.780511,10.780511,10.780511,2.29823,2.70242,1.17587,0.373082,1.0,90.765,0.067004427
ZnTm2O4,0.9821893999999816,Zn,Tm,O,2,1.65,1.25,3.44,0.6,0.88,1.4,38.67,144.0,5.3,,1.029,1.4611135,9.223429,9.223429,9.223429,2.073375,2.235942,1.078407,0.379785,1.0,93.3597,0.149995835
AlNd2Se4,0.9633026500000028,Al,Nd,Se,3,1.61,1.14,2.55,0.39,983,1.98,57.8,208.0,28.9,0.43283,1.916,2.02067,11.71163,11.71163,11.71163,2.443443,2.968212,1.214766,0.370455,1.0,92.0035,0.095173748
CaMo2Se4,0.953930889999981,Ca,Mo,Se,2,1.0,2.16,2.55,1.0,0.69,1.98,160.8,87.0,28.9,0.02455,748,2.02067,11.398425,11.398425,11.398425,2.821237,2.671056,0.946767,0.392901,1.0,98.7219,0.47630818
AlLa2Se4,0.94943238999997,Al,La,Se,3,1.61,1.1,2.55,0.39,1.032,1.98,57.8,215.0,28.9,0.43283,0.47,2.02067,11.878725,11.878725,11.878725,2.451174,3.01955,1.231879,0.369136,1.0,92.5702,0.141615791
CaCo2S4,0.937490940000032,Ca,Co,S,2,1.0,1.88,2.58,1.0,0.61,1.84,160.8,55.0,19.4,0.02455,0.66225646,2.07710403,10.118824,10.118824,10.118824,2.630521,2.316333,0.88056,0.40009,1.0,102.5549,0.243878268
ZnGa2O4,0.9224469299999782,Zn,Ga,O,2,1.65,1.81,3.44,0.6,0.62,1.4,38.67,50.0,5.3,,0.43,1.4611135,8.462797,8.462797,8.462797,1.987188,2.01818,1.015596,0.38557,1.0,95.7105,0.020773234
ZnCo2S4,0.919072769999957,Zn,Co,S,2,1.65,1.88,2.58,0.6,0.61,1.84,38.67,55.0,19.4,,0.66225646,2.07710403,9.627099,9.627099,9.627099,2.356774,2.264084,0.960671,0.391339,1.0,98.0726,0.036577647
ZnIn2O4,0.9110329500000488,Zn,In,O,2,1.65,1.78,3.44,0.6,0.8,1.4,38.67,65.0,5.3,,0.3,1.4611135,9.050676,9.050676,9.050676,2.026891,2.201848,1.086318,0.379297,1.0,92.9256,0.036475221
ZnAl2O4,0.8981605599999511,Zn,Al,O,2,1.65,1.61,3.44,0.6,535,1.4,38.67,57.8,5.3,,0.43283,1.4611135,8.177784,8.177784,8.177784,1.966048,1.930183,0.981757,0.388803,1.0,97.2224,0.007193722
AlPd2Se4,0.8981536200000164,Al,Pd,Se,3,1.61,2.2,2.55,0.39,0.76,1.98,57.8,26.14,28.9,0.43283,562,2.02067,10.730021,10.730021,10.730021,2.468571,2.583206,1.046438,0.382826,1.0,94.3588,0.12818299
AlCo2O4,0.8943902199999911,Al,Co,O,3,1.61,1.88,3.44,0.39,0.61,1.4,57.8,55.0,5.3,0.43283,0.66225646,1.4611135,8.343907,8.211753,8.211753,1.842927,2.016763,1.094326,0.378881,0.984162,90.2901,0.111631697
